mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
34.15813012123108,2.6865398701815892,2.8924751758575438,0.19810180308083045,linear,scale,0.01,"{'kernel': 'linear', 'gamma': 'scale', 'C': 0.01}",0.718604862945087,0.9098442764775522,0.7856102003642987,0.7727686703096539,0.7913479052823316,0.7956351830757846,0.0626404752064013,7
41.34171833992004,3.784210650986078,6.021802234649658,0.47525498611942213,rbf,0.001,0.01,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 0.01}",0.7677807121391494,0.7677807121391494,0.7678506375227687,0.7678506375227687,0.7678506375227687,0.767822667369321,3.4256301987117955e-05,19
51.564689779281615,1.992998426560067,1.9175183296203613,0.1606579934788753,linear,scale,10,"{'kernel': 'linear', 'gamma': 'scale', 'C': 10}",0.7818960021855933,0.9256898278845278,0.7749544626593807,0.7776867030965392,0.681511839708561,0.7883477671069203,0.0782450269373914,11
26.441316318511962,5.4645274600556295,1.8861014366149902,0.3170366208091024,rbf,0.1,10,"{'kernel': 'rbf', 'gamma': 0.1, 'C': 10}",0.8560240415262726,0.957563063473272,0.8383424408014571,0.8569216757741348,0.8068306010928962,0.8631363645336065,0.05057803202627966,2
29.237538957595824,2.3418812071611286,3.383843421936035,0.3628041393918881,rbf,scale,0.1,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 0.1}",0.7931882342227484,0.9543757399143976,0.8607468123861567,0.8482695810564663,0.7663934426229508,0.844594762040544,0.06493740615244922,3
124.86360349655152,7.8106534025401535,1.8081241130828858,0.17878744086630258,linear,0.01,100,"{'kernel': 'linear', 'gamma': 0.01, 'C': 100}",0.7820781349603861,0.9256898278845278,0.7751366120218579,0.7778688524590164,0.6800546448087431,0.7881656144269062,0.07863043514551639,14
29.74086775779724,4.565903150662425,3.060270595550537,0.3953045246468662,rbf,0.1,1,"{'kernel': 'rbf', 'gamma': 0.1, 'C': 1}",0.8012020763136326,0.9407157818049358,0.8773224043715847,0.8089253187613843,0.7504553734061931,0.835724190931546,0.0662334850434208,4
124.5565363407135,6.94782482818912,1.8157684326171875,0.1618584098948322,linear,scale,100,"{'kernel': 'linear', 'gamma': 'scale', 'C': 100}",0.7820781349603861,0.9256898278845278,0.7751366120218579,0.7778688524590164,0.6800546448087431,0.7881656144269062,0.07863043514551639,14
36.15917239189148,1.6075604143896804,2.6618799209594726,0.23253058280256056,linear,scale,0.1,"{'kernel': 'linear', 'gamma': 'scale', 'C': 0.1}",0.7747017575812768,0.9264183589836991,0.7699453551912568,0.7753187613843352,0.7680327868852459,0.8028834040051628,0.06182941111288406,5
26.74892039299011,1.9853954894547536,1.309392023086548,0.26542277140459386,rbf,0.1,100,"{'kernel': 'rbf', 'gamma': 0.1, 'C': 100}",0.8862580821418814,0.9582005281850469,0.8382513661202186,0.8765027322404372,0.7960837887067396,0.8710592994788646,0.05394796641560633,1
47.37972536087036,2.6477915370188554,2.03844313621521,0.09072640183528353,linear,1,10,"{'kernel': 'linear', 'gamma': 1, 'C': 10}",0.7818960021855933,0.9256898278845278,0.7749544626593807,0.7776867030965392,0.681511839708561,0.7883477671069203,0.0782450269373914,11
124.19017643928528,6.461201585245364,1.84674129486084,0.1677391354963455,linear,auto,100,"{'kernel': 'linear', 'gamma': 'auto', 'C': 100}",0.7820781349603861,0.9256898278845278,0.7751366120218579,0.7778688524590164,0.6800546448087431,0.7881656144269062,0.07863043514551639,14
38.551851463317874,3.509564561574742,5.027930212020874,0.13961301992552128,rbf,0.01,1,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 1}",0.7381841362353155,0.9282396867316274,0.7866120218579234,0.779143897996357,0.7756830601092897,0.8015725605861027,0.06551302473124354,6
42.32235803604126,3.0445385453370815,5.466692495346069,0.35668247261635194,rbf,auto,0.01,"{'kernel': 'rbf', 'gamma': 'auto', 'C': 0.01}",0.6930152080866953,0.8172297604954012,0.7705828779599272,0.7871584699453552,0.782695810564663,0.7701364254104084,0.04150458250940588,18
125.39349675178528,5.274177151063616,1.8155814170837403,0.16385124999412495,linear,0.001,100,"{'kernel': 'linear', 'gamma': 0.001, 'C': 100}",0.7820781349603861,0.9256898278845278,0.7751366120218579,0.7778688524590164,0.6800546448087431,0.7881656144269062,0.07863043514551639,14
40.3248468875885,1.5160893051554405,6.134339237213135,0.1832936860212451,rbf,0.001,0.1,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 0.1}",0.7673253802021673,0.7677807121391494,0.7678506375227687,0.7678506375227687,0.7678506375227687,0.7677316009819247,0.000204907941202366,20
38.3106107711792,1.5164391290654928,2.8466426849365236,0.20309875069392688,linear,0.1,0.01,"{'kernel': 'linear', 'gamma': 0.1, 'C': 0.01}",0.718604862945087,0.9098442764775522,0.7856102003642987,0.7727686703096539,0.7913479052823316,0.7956351830757846,0.0626404752064013,7
34.93312845230103,3.971447092085666,2.8761902809143067,0.22021415384253315,linear,0.01,0.01,"{'kernel': 'linear', 'gamma': 0.01, 'C': 0.01}",0.718604862945087,0.9098442764775522,0.7856102003642987,0.7727686703096539,0.7913479052823316,0.7956351830757846,0.0626404752064013,7
45.73547887802124,1.636305133208712,2.1723069667816164,0.14934188910370377,linear,0.001,10,"{'kernel': 'linear', 'gamma': 0.001, 'C': 10}",0.7818960021855933,0.9256898278845278,0.7749544626593807,0.7776867030965392,0.681511839708561,0.7883477671069203,0.0782450269373914,11
35.29613909721375,3.0723886695952465,2.9133947849273683,0.1829121382469112,linear,0.001,0.01,"{'kernel': 'linear', 'gamma': 0.001, 'C': 0.01}",0.718604862945087,0.9098442764775522,0.7856102003642987,0.7727686703096539,0.7913479052823316,0.7956351830757846,0.0626404752064013,7
